ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,837104
2,9.5,霸王别姬,598787
3,9.4,这个杀手不太冷,803101
4,9.4,阿甘正传,687265
5,9.5,美丽人生,399816
6,9.2,千与千寻,638958
7,9.4,辛德勒的名单,369748
8,9.2,泰坦尼克号,632286
9,9.2,盗梦空间,739948
10,9.3,机器人总动员,485666
11,9.2,海上钢琴师,583908
12,9.1,三傻大闹宝莱坞,651214
13,9.2,忠犬八公的故事,437332
14,9.2,放牛班的春天,437669
15,9.2,大话西游之大圣娶亲,471432
16,9.2,教父,333519
17,9.1,龙猫,405569
18,9.0,楚门的世界,435897
19,9.2,乱世佳人,263975
20,9.1,天堂电影院,301943
21,8.9,当幸福来敲门,523669
22,9.1,触不可及,355178
23,9.0,搏击俱乐部,395500
24,9.2,熔炉,237314
25,9.3,十二怒汉,165274
26,9.0,无间道,384282
27,8.9,怦然心动,524083
28,9.1,指环王3：王者无敌,277424
29,9.0,天空之城,321792
30,9.0,少年派的奇幻漂流,563271
31,8.9,罗马假日,374930
32,9.1,星际穿越,464712
33,9.1,鬼子来了,219124
34,8.9,大话西游之月光宝盒,382397
35,9.0,蝙蝠侠：黑暗骑士,305930
36,9.0,两杆大烟枪,266161
37,8.9,飞屋环游记,484018
38,9.0,活着,254614
39,9.0,飞越疯人院,269862
40,9.1,窃听风暴,213802
41,9.3,海豚湾,177415
42,8.9,闻香识女人,310669
43,8.8,V字仇杀队,398625
44,8.8,哈尔的移动城堡,334063
45,9.1,教父2,179782
46,8.9,美丽心灵,294896
47,8.9,指环王2：双塔奇兵,261965
48,8.9,指环王1：魔戒再现,292360
49,8.9,死亡诗社,265656
50,8.8,情书,359893
51,8.7,天使爱美丽,466833
52,9.1,美国往事,167779
53,8.7,七宗罪,421074
54,9.0,钢琴家,195616
55,9.6,控方证人,77346
56,8.9,狮子王,270711
57,9.1,辩护人,187958
58,8.9,被嫌弃的松子的一生,266115
59,8.8,致命魔术,326125
60,9.0,饮食男女,183141
61,8.8,勇敢的心,287035
62,8.7,剪刀手爱德华,466335
63,9.2,小鞋子,130029
64,8.9,音乐之声,223327
65,8.7,低俗小说,318819
66,8.8,入殓师,308868
67,8.7,本杰明·巴顿奇事,377777
68,8.7,沉默的羔羊,337470
69,8.8,黑客帝国,267208
70,8.7,蝴蝶效应,365458
71,8.8,拯救大兵瑞恩,224564
72,9.1,素媛,163222
73,8.7,西西里的美丽传说,327640
74,8.9,玛丽和马克思,225970
75,8.7,心灵捕手,257093
76,8.8,幽灵公主,223753
77,8.8,第六感,222910
78,8.8,春光乍泄,230685
79,8.7,阳光灿烂的日子,257571
80,8.7,让子弹飞,596541
81,9.2,大闹天宫,91899
82,8.7,大鱼,240031
83,8.7,射雕英雄传之东成西就,262149
84,8.6,重庆森林,310033
85,9.2,疯狂动物城,463200
